Entrez_ID	Ensemble_ID_human	Gene_symbol_human	HGNC Gene Symbol	Uniprot Accession
47	ENSG00000131473	ACLY	ACLY	P53396
130013	ENSG00000153086	ACMSD	ACMSD	Q8TDX5
48	ENSG00000122729	ACO1	ACO1	P21399
50	ENSG00000100412	ACO2	ACO2	Q99798
641371	ENSG00000184227	ACOT1	ACOT1	Q86TX2
26027	ENSG00000162390	ACOT11	ACOT11	Q8WXI4
134526	ENSG00000172497	ACOT12	ACOT12	Q8WYK0
55856	ENSG00000112304	ACOT13	ACOT13	Q9NPJ3
10965	ENSG00000119673	ACOT2	ACOT2	P49753
122970	ENSG00000177465	ACOT4	ACOT4	Q8N9L9
641372	ENSG00000205669	ACOT6	ACOT6	Q3I5F7
11332	ENSG00000097021	ACOT7	ACOT7	O00154
10005	ENSG00000101473	ACOT8	ACOT8	O14734
23597	ENSG00000123130	ACOT9	ACOT9	Q9Y305
51	ENSG00000161533	ACOX1	ACOX1	Q15067
8309	ENSG00000168306	ACOX2	ACOX2	Q99424
8310	ENSG00000087008	ACOX3	ACOX3	O15254
55289	ENSG00000153093	ACOXL	ACOXL	Q9NUZ1
52	ENSG00000143727	ACP1	ACP1	P24666
53	ENSG00000134575	ACP2	ACP2	P11117
54	ENSG00000102575	ACP5	ACP5	P13686
51205	ENSG00000162836	ACP6	ACP6	Q9NPH0
55	ENSG00000014257	ACPP	ACPP	P15309
93650	ENSG00000142513	ACPT	ACP4	Q9BZG2
49	ENSG00000100312	ACR	ACR	P10323
23205	ENSG00000103740	ACSBG1	ACSBG1	Q96GR2
80221	ENSG00000167107	ACSF2	ACSF2	Q96CM8
2180	ENSG00000151726	ACSL1	ACSL1	P33121
2182	ENSG00000068366	ACSL4	ACSL4	O60488
51703	ENSG00000197142	ACSL5	ACSL5	Q9ULC5
23305	ENSG00000164398	ACSL6	ACSL6	Q9UKU0
6296	ENSG00000005187	ACSM3	ACSM3	Q53FZ2
54988	ENSG00000183549	ACSM5	ACSM5	Q6NUN0
84532	ENSG00000154930	ACSS1	ACSS1	Q9NUB1
55902	ENSG00000131069	ACSS2	ACSS2	Q9NR19
79611	ENSG00000111058	ACSS3	ACSS3	Q9H6R3
59	ENSG00000107796	ACTA2	ACTA2	P62736
60	ENSG00000075624	ACTB	ACTB	P60709
70	ENSG00000159251	ACTC1	ACTC1	P68032
71	ENSG00000184009	ACTG1	ACTG1	P63261
72	ENSG00000163017	ACTG2	ACTG2	P63267
170487	ENSG00000182584	ACTL10	ACTL10	Q5JWF8
86	ENSG00000136518	ACTL6A	ACTL6A	O96019
51412	ENSG00000077080	ACTL6B	ACTL6B	O94805
10881	ENSG00000187003	ACTL7A	ACTL7A	Q9Y615
284382	ENSG00000181786	ACTL9	ACTL9	Q8TC94
87	ENSG00000072110	ACTN1	ACTN1	P12814
88	ENSG00000077522	ACTN2	ACTN2	P35609
89	ENSG00000248746	ACTN3	ACTN3	Q08043
81	ENSG00000130402	ACTN4	ACTN4	O43707
55860	ENSG00000131966	ACTR10	ACTR10	Q9NZ32
10121	ENSG00000138107	ACTR1A	ACTR1A	P61163
10120	ENSG00000115073	ACTR1B	ACTR1B	P42025
10097	ENSG00000138071	ACTR2	ACTR2	P61160
10096	ENSG00000115091	ACTR3	ACTR3	P61158
57180	ENSG00000133627	ACTR3B	ACTR3B	Q9P1U1
79913	ENSG00000101442	ACTR5	ACTR5	Q9H9F9
64431	ENSG00000075089	ACTR6	ACTR6	Q9GZN1
93973	ENSG00000113812	ACTR8	ACTR8	Q9H981
84517	ENSG00000184378	ACTRT3	ACTRT3	Q9BYD9
